File ID	File Name	Data Category	Data Type	Project ID	Case ID	Sample ID	Sample Type
5572c806-d839-4847-a7a3-6eab05b2a58c	TCGA-HNSC.9bc3da27-2015-46df-8481-6c34fe996933.ascat3.gene_level_copy_number.v36.tsv	Copy Number Variation	Gene Level Copy Number	TCGA-HNSC	TCGA-DQ-7595, TCGA-DQ-7595	TCGA-DQ-7595-10D, TCGA-DQ-7595-01A	Blood Derived Normal, Primary Tumor
f91469e6-c244-4453-aa33-67aebfe60920	TCGA-HNSC.0896cb74-deee-46cd-ac66-19f50e4e9503.ascat3.gene_level_copy_number.v36.tsv	Copy Number Variation	Gene Level Copy Number	TCGA-HNSC	TCGA-CR-7377, TCGA-CR-7377	TCGA-CR-7377-10A, TCGA-CR-7377-01A	Blood Derived Normal, Primary Tumor
7bf8f9f9-a99e-4c4d-a769-804a118d14e8	TCGA-HNSC.aeaf677b-7628-47a1-bcf2-72e09f9c02a0.ascat3.gene_level_copy_number.v36.tsv	Copy Number Variation	Gene Level Copy Number	TCGA-HNSC	TCGA-UP-A6WW, TCGA-UP-A6WW	TCGA-UP-A6WW-01A, TCGA-UP-A6WW-10B	Primary Tumor, Blood Derived Normal
b60b2fd2-ddd8-4a3a-af3c-de441065043c	TCGA-HNSC.4a9967bf-444c-4573-a082-121a30be7f3b.ascat3.gene_level_copy_number.v36.tsv	Copy Number Variation	Gene Level Copy Number	TCGA-HNSC	TCGA-CN-4735, TCGA-CN-4735	TCGA-CN-4735-10A, TCGA-CN-4735-01A	Blood Derived Normal, Primary Tumor
12a142ed-7b45-45a4-8556-a870f6deba3c	TCGA-HNSC.8d359280-c54f-4708-9aff-16c3396bf261.ascat3.gene_level_copy_number.v36.tsv	Copy Number Variation	Gene Level Copy Number	TCGA-HNSC	TCGA-WA-A7GZ, TCGA-WA-A7GZ	TCGA-WA-A7GZ-01A, TCGA-WA-A7GZ-10A	Primary Tumor, Blood Derived Normal
f95b9469-eab1-4747-a865-f96912857725	TCGA-HNSC.09a7e755-b4bb-493f-84e0-d5dda10d2216.ascat3.gene_level_copy_number.v36.tsv	Copy Number Variation	Gene Level Copy Number	TCGA-HNSC	TCGA-CV-A463, TCGA-CV-A463	TCGA-CV-A463-10A, TCGA-CV-A463-01A	Blood Derived Normal, Primary Tumor
5da5e398-f54c-4eb9-b18e-b9e10c17a83e	TCGA-HNSC.47fc64e8-e627-4501-89ce-9606dde93892.ascat3.gene_level_copy_number.v36.tsv	Copy Number Variation	Gene Level Copy Number	TCGA-HNSC	TCGA-D6-6823, TCGA-D6-6823	TCGA-D6-6823-01A, TCGA-D6-6823-10A	Primary Tumor, Blood Derived Normal
af0b19c2-29b5-4b90-a65b-bde0c27dcdac	TCGA-HNSC.869444eb-b54c-4cea-a99a-66b14cae537f.ascat3.gene_level_copy_number.v36.tsv	Copy Number Variation	Gene Level Copy Number	TCGA-HNSC	TCGA-CR-7374, TCGA-CR-7374	TCGA-CR-7374-01A, TCGA-CR-7374-10A	Primary Tumor, Blood Derived Normal
e73caa89-80fb-4835-b7e4-3adea1e5430d	TCGA-HNSC.fec1fe05-69f3-4020-a731-4939f147e3c3.ascat3.gene_level_copy_number.v36.tsv	Copy Number Variation	Gene Level Copy Number	TCGA-HNSC	TCGA-D6-A6EN, TCGA-D6-A6EN	TCGA-D6-A6EN-01A, TCGA-D6-A6EN-10A	Primary Tumor, Blood Derived Normal
902b0367-f69a-4065-a456-9f9a63ad6a1b	TCGA-HNSC.bfd7b26c-a460-4d85-8f09-657a72068dc5.ascat3.gene_level_copy_number.v36.tsv	Copy Number Variation	Gene Level Copy Number	TCGA-HNSC	TCGA-CV-7415, TCGA-CV-7415	TCGA-CV-7415-01A, TCGA-CV-7415-10A	Primary Tumor, Blood Derived Normal
